"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Попытка регистрации без имени","270","Создать пользователя с пропущенным обязательным полем","","2026-02-15","failed","2026-02-15","","UserTests","UserTests","createUserWithoutRequiredField"
"Попытка создания заказа без авторизации должна вернуть 401","1483","Создать заказ без авторизации","","2026-02-15","broken","2026-02-15","","OrderTests","OrderTests","testCreateOrderWithoutAuth"
"Проверка создания заказа с минимально допустимым количеством ингредиентов","269","Создать заказ с одним ингредиентом","","2026-02-15","failed","2026-02-15","","OrderTests","OrderTests","testCreateOrderWithOneIngredient"
"Проверка успешной регистрации нового пользователя","13316","Создание уникального пользователя","","2026-02-15","failed","2026-02-15","","UserTests","UserTests","createUniqueUser"
"Проверка ошибок при неправильных логине или пароле","200","Логин с неправильными данными","","2026-02-15","failed","2026-02-15","","UserTests","UserTests","loginWithWrongCredentials"
"Проверка реакции API при отправке пустого массива ингредиентов","221","Создать заказ без ингредиентов","","2026-02-15","failed","2026-02-15","","OrderTests","OrderTests","testCreateOrderWithoutIngredients"
"Проверка отклика при повторной регистрации существующего пользователя","331","Создать пользователя, который уже зарегистрирован","","2026-02-15","failed","2026-02-15","","UserTests","UserTests","createExistingUser"
"Авторизованный пользователь создает заказ с несколькими ингредиентами","297","Создать заказ с авторизацией","","2026-02-15","failed","2026-02-15","","OrderTests","OrderTests","testCreateOrderWithAuth"
"Отправка некорректных данных при создании заказа должна вернуть 500","246","Создать заказ с некорректными ингредиентами","","2026-02-15","failed","2026-02-15","","OrderTests","OrderTests","testCreateOrderWithInvalidIngredients"
"Проверка успешного входа","2099","Вход под существующим пользователем","","2026-02-15","failed","2026-02-15","","UserTests","UserTests","loginUser"
